MeteringPointGSRN;Product Type;Resolution;Unit Type;Reading Type;Start Time;Quantity;Quality
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T02:00:00Z;1,070000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T03:00:00Z;1,046000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T04:00:00Z;1,022000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T05:00:00Z;1,105000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T06:00:00Z;1,102000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T07:00:00Z;1,139000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T08:00:00Z;1,070000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T09:00:00Z;3,502000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T10:00:00Z;6,493000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T11:00:00Z;5,304000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T12:00:00Z;1,857000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T13:00:00Z;1,490000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T14:00:00Z;2,554000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T15:00:00Z;2,113000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T16:00:00Z;2,078000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T17:00:00Z;1,446000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T18:00:00Z;1,453000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T19:00:00Z;1,506000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T20:00:00Z;1,468000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T21:00:00Z;1,344000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T22:00:00Z;1,038000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-03T23:00:00Z;1,067000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T00:00:00Z;1,043000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T01:00:00Z;1,028000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T02:00:00Z;0,986000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T03:00:00Z;1,049000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T04:00:00Z;0,962000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T05:00:00Z;0,930000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T06:00:00Z;1,159000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T07:00:00Z;1,068000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T08:00:00Z;1,023000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T09:00:00Z;1,009000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T10:00:00Z;1,109000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T11:00:00Z;0,919000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T12:00:00Z;1,415000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T13:00:00Z;1,569000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T14:00:00Z;1,053000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T15:00:00Z;0,940000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T16:00:00Z;0,932000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T17:00:00Z;0,860000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T18:00:00Z;0,803000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T19:00:00Z;2,071000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T20:00:00Z;6,757000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T21:00:00Z;5,756000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T22:00:00Z;4,656000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-04T23:00:00Z;1,097000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T00:00:00Z;0,858000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T01:00:00Z;0,988000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T02:00:00Z;0,884000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T03:00:00Z;0,928000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T04:00:00Z;0,849000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T05:00:00Z;0,836000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T06:00:00Z;0,893000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T07:00:00Z;0,791000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T08:00:00Z;0,814000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T09:00:00Z;0,901000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T10:00:00Z;0,822000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T11:00:00Z;0,845000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T12:00:00Z;0,818000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T13:00:00Z;2,125000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T14:00:00Z;1,668000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T15:00:00Z;4,746000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T16:00:00Z;6,422000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T17:00:00Z;5,413000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T18:00:00Z;2,306000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T19:00:00Z;0,938000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T20:00:00Z;0,953000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T21:00:00Z;0,885000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T22:00:00Z;0,586000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-05T23:00:00Z;0,685000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T00:00:00Z;0,621000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T01:00:00Z;0,578000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T02:00:00Z;0,593000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T03:00:00Z;0,745000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T04:00:00Z;0,936000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T05:00:00Z;5,836000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T06:00:00Z;5,773000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T07:00:00Z;5,044000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T08:00:00Z;1,047000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T09:00:00Z;0,943000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T10:00:00Z;0,936000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T11:00:00Z;1,923000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T12:00:00Z;0,939000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T13:00:00Z;0,801000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T14:00:00Z;0,924000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T15:00:00Z;0,813000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T16:00:00Z;0,890000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T17:00:00Z;0,919000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T18:00:00Z;0,821000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T19:00:00Z;0,925000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T20:00:00Z;6,088000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T21:00:00Z;3,346000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T22:00:00Z;0,898000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-06T23:00:00Z;0,827000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T00:00:00Z;1,412000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T01:00:00Z;7,068000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T02:00:00Z;4,636000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T03:00:00Z;4,650000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T04:00:00Z;0,808000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T05:00:00Z;0,874000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T06:00:00Z;0,839000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T07:00:00Z;0,801000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T08:00:00Z;0,848000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T09:00:00Z;0,787000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T10:00:00Z;5,530000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T11:00:00Z;5,067000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T12:00:00Z;4,404000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T13:00:00Z;2,972000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T14:00:00Z;2,753000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T15:00:00Z;4,175000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T16:00:00Z;2,757000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T17:00:00Z;1,254000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T18:00:00Z;0,980000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T19:00:00Z;1,142000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T20:00:00Z;2,793000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T21:00:00Z;5,704000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T22:00:00Z;4,671000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-07T23:00:00Z;1,294000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T00:00:00Z;1,032000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T01:00:00Z;0,911000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T02:00:00Z;0,784000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T03:00:00Z;0,872000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T04:00:00Z;0,764000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T05:00:00Z;0,876000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T06:00:00Z;0,757000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T07:00:00Z;0,868000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T08:00:00Z;0,995000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T09:00:00Z;0,937000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T10:00:00Z;1,074000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T11:00:00Z;0,935000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T12:00:00Z;1,018000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T13:00:00Z;0,972000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T14:00:00Z;0,829000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T15:00:00Z;0,891000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T16:00:00Z;0,934000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T17:00:00Z;0,797000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T18:00:00Z;0,738000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T19:00:00Z;0,808000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T20:00:00Z;0,731000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T21:00:00Z;0,742000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T22:00:00Z;0,758000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-08T23:00:00Z;0,781000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T00:00:00Z;0,737000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T01:00:00Z;0,753000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T02:00:00Z;1,090000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T03:00:00Z;1,467000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T04:00:00Z;1,546000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T05:00:00Z;1,645000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T06:00:00Z;2,635000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T07:00:00Z;7,560000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T08:00:00Z;6,658000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T09:00:00Z;2,561000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T10:00:00Z;0,963000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T11:00:00Z;1,202000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T12:00:00Z;1,054000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-09T13:00:00Z;0,881000;OK
